id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;operatorname;shortname;mode;pointgeo;nom_commune;code_insee;
IDFM:C01371;1;IDFM:22088;Argentine;2.289435418542214;48.87566737659971;RATP;1;Metro;48.87566737659971, 2.289435418542214;Paris;75056;0
IDFM:C01371;1;IDFM:463019;Bastille;2.368692796099789;48.85196422011205;RATP;1;Metro;48.85196422011205, 2.368692796099789;Paris;75056;0
IDFM:C01371;1;IDFM:22105;Bérault;2.4292049740990573;48.84540614839331;RATP;1;Metro;48.84540614839331, 2.4292049740990573;Vincennes;94080;0
IDFM:C01371;1;IDFM:22090;Champs-Élysées - Clemenceau;2.314397292025236;48.867583959552555;RATP;1;Metro;48.867583959552555, 2.314397292025236;Paris;75056;0
IDFM:C01371;1;IDFM:22086;Charles de Gaulle - Etoile;2.2951172138230334;48.87392926445533;RATP;1;Metro;48.87392926445533, 2.2951172138230334;Paris;75056;0
IDFM:C01371;1;IDFM:463149;Château de Vincennes;2.440540095406114;48.84431751431355;RATP;1;Metro;48.84431751431355, 2.440540095406114;Paris;75056;0
IDFM:C01371;1;IDFM:22087;Châtelet;2.3457609541847755;48.85922471342816;RATP;1;Metro;48.85922471342816, 2.3457609541847755;Paris;75056;0
IDFM:C01371;1;IDFM:22085;Concorde;2.3228909937191604;48.866472156532026;RATP;1;Metro;48.866472156532026, 2.3228909937191604;Paris;75056;0
IDFM:C01371;1;IDFM:463170;Esplanade de la Défense;2.249931086743073;48.88834989394862;RATP;1;Metro;48.88834989394862, 2.249931086743073;Courbevoie;92026;0
IDFM:C01371;1;IDFM:22082;Franklin D. Roosevelt;2.309359666519628;48.8691648256349;RATP;1;Metro;48.8691648256349, 2.309359666519628;Paris;75056;0
IDFM:C01371;1;IDFM:463197;Gare de Lyon;2.373125016776689;48.84575948671397;RATP;1;Metro;48.84575948671397, 2.373125016776689;Paris;75056;0
IDFM:C01371;1;IDFM:463185;George V;2.300759784978918;48.87203776458909;RATP;1;Metro;48.87203776458909, 2.300759784978918;Paris;75056;0
IDFM:C01371;1;IDFM:22091;Hôtel de Ville;2.3520676701391;48.85735240518587;RATP;1;Metro;48.85735240518587, 2.3520676701391;Paris;75056;0
IDFM:C01371;1;IDFM:22101;La Défense (Grande Arche);2.2379881830988277;48.89181786646099;RATP;1;Metro;48.89181786646099, 2.2379881830988277;Puteaux;92062;0
IDFM:C01371;1;IDFM:463217;Les Sablons;2.271904762259129;48.88129083793358;RATP;1;Metro;48.88129083793358, 2.271904762259129;Neuilly-sur-Seine;92051;0
IDFM:C01371;1;IDFM:22081;Louvre - Rivoli;2.3409026134809903;48.86078090878698;RATP;1;Metro;48.86078090878698, 2.3409026134809903;Paris;75056;0
IDFM:C01371;1;IDFM:22080;Nation;2.3958439887237373;48.848084289973976;RATP;1;Metro;48.848084289973976, 2.3958439887237373;Paris;75056;0
IDFM:C01371;1;IDFM:463227;Palais Royal - Musée du Louvre;2.336561574182243;48.862366755622624;RATP;1;Metro;48.862366755622624, 2.336561574182243;Paris;75056;0
IDFM:C01371;1;IDFM:463044;Pont de Neuilly;2.2585225729481575;48.8854985504452;RATP;1;Metro;48.8854985504452, 2.2585225729481575;Neuilly-sur-Seine;92051;0
IDFM:C01371;1;IDFM:22077;Porte de Vincennes;2.4108049967015006;48.84700773108863;RATP;1;Metro;48.84700773108863, 2.4108049967015006;Paris;75056;0
IDFM:C01371;1;IDFM:463257;Porte Maillot;2.2822896139411903;48.877805650437985;RATP;1;Metro;48.877805650437985, 2.2822896139411903;Paris;75056;0
IDFM:C01371;1;IDFM:22076;Reuilly - Diderot;2.386056169673362;48.84723403765801;RATP;1;Metro;48.84723403765801, 2.386056169673362;Paris;75056;0
IDFM:C01371;1;IDFM:463040;Saint-Mandé;2.4189897063438073;48.84622934735893;RATP;1;Metro;48.84622934735893, 2.4189897063438073;Saint-Mandé;94067;0
IDFM:C01371;1;IDFM:463307;Saint-Paul (Le Marais);2.3609713728017505;48.85527781668134;RATP;1;Metro;48.85527781668134, 2.3609713728017505;Paris;75056;0
IDFM:C01371;1;IDFM:463041;Tuileries;2.3296780947116416;48.864477839314645;RATP;1;Metro;48.864477839314645, 2.3296780947116416;Paris;75056;0
IDFM:C01372;2;IDFM:22122;Alexandre Dumas;2.3945914186721278;48.856199097341126;RATP;2;Metro;48.856199097341126, 2.3945914186721278;Paris;75056;0
IDFM:C01372;2;IDFM:463120;Anvers;2.3441548403302916;48.882868568843925;RATP;2;Metro;48.882868568843925, 2.3441548403302916;Paris;75056;0
